Provider Name,Route Direction,Service Type,Ownership,Vehicle Size,Base City,Contact Number,Website,ICU Ambulance,Cardiac Ambulance,Neonatal Ambulance,Ventilator Ambulance,Nurse Support,Multi-specialty Service,Patient Shifting,Dead Body Transportation,TN to WB Service,WB to TN Service,Notes
Sri Balaji Train Ambulance,Kolkata (WB) -> Chennai/CMC Vellore (TN),Train Ambulance (ICU/CCU/PICU/NICU),Private,Large,Kolkata,Check website for current number,sribalajiambulance.com,Yes,Yes,Yes,Yes,,,Yes,,Yes,Yes,"Manages ticket booking, route planning, and hospital coordination for transfers from Kolkata to Chennai, CMC Vellore and other TN hospitals."
Panchmukhi Air Ambulance,Kolkata (WB) -> Chennai (TN),Air Ambulance,Private,Large,Kolkata,Check website for current number,panchmukhiairambulance.com,Yes,,,Yes,,,Yes,,Yes,Yes,"Kolkata office: Ba-7, 101 Shanti Pally, Rajdanga Main Road, Near Acropolis Mall, Kolkata-700021."
Pawan Ambulance India,Kolkata (WB) -> Chennai (TN),"Road, ICU / Interstate",Private,Medium,Kolkata / Multi-city,Check website for current number,pawanambulanceindia.com,Yes,,,,Yes,Yes,Yes,Yes,Yes,"Pan-India intercity/interstate network with GPS-tracked ambulances and mortuary van (freezer compartment) option."
VMEDO Private Ambulance,Kolkata (WB) -> Chennai (TN),Road (ICU) / Air Ambulance,Private,Medium,Kolkata,9343180000,vmedo.com,Yes,,,,Yes,Yes,Yes,Yes,Yes,"Same network as Chennai office; offers ICU road transport, air ambulance and mortuary (dead body) transport for the reverse route."
Med Cab Ambulance,Kolkata (WB) -> Chennai (TN),"Road, ICU",Private,Medium,Kolkata,18008-908-208 (toll-free),medcab.in,Yes,,,,Yes,Yes,Yes,Yes,Yes,"App/website booking; operates in Kolkata with interstate transfer capability and dead body transport."
ICATT Air Ambulance,Kolkata (WB) -> Chennai (TN),Air Ambulance,Private,Large,Multi-city (HQ Chennai),+91 9701111156,icatt.in,Yes,,,Yes,,,Yes,,Yes,Yes,"Coordinates return-leg air ambulance transfers into Chennai and Vellore."
West Bengal / Kolkata 108 Emergency Ambulance,"Statewide, West Bengal (origin point)",Government Emergency,Government,Medium,West Bengal (all districts),108 (toll-free),wb.gov.in,,,,,,,Yes,,,Yes,"Free 24/7 government emergency ambulance; use to reach a hospital before arranging a private interstate transfer to Tamil Nadu."
Lifesavers Ambulance Services (Kolkata),Kolkata (WB) -> Chennai/Coimbatore (TN),Rail / Air / Neonatal-Paediatric Ambulance,Private,Large,Kolkata,+91 98912-33040,lifesaversambulance.com,Yes,,Yes,Yes,,,Yes,,Yes,Yes,"ICU-equipped rail ambulance via Indian Railways network; serves major Kolkata hospitals (Apollo, Fortis, AMRI, Medica, Peerless, Ruby, Desun, Woodlands)."
AyuSewa Road, Air & Train Ambulance,Kolkata (WB) -> Chennai (TN),Road (BLS/ALS/ICU) / Air / Train,Private,Medium,Kolkata,Check website for current number,ayusewa.com,Yes,,,Yes,,,Yes,,Yes,Yes,"24/7 intercity & interstate network covering Chennai, Bangalore, Delhi, Mumbai, Hyderabad; serves Kolkata, Howrah, Salt Lake, New Town, Barrackpore, Dum Dum, Behala."
Med Cab Ambulance (Kolkata/West Bengal),Kolkata (WB) -> Chennai (TN),"Road, ICU / Air Ambulance",Private,Medium,Kolkata,1800-890-8208 (toll-free),medcab.in,Yes,,,,Yes,Yes,Yes,Yes,Yes,"App-based booking; offers air ambulance cost quotes from Kolkata to major Indian cities."
Poddar Ambulance Service,Kolkata (WB) -> Chennai (TN),"Road, ICU Ambulance",Private,Small,Kolkata & surrounding WB,Check website for current number,emergencyambulance.in,Yes,,,Yes,,,Yes,,Yes,Yes,"ICU ambulance with advanced life support (ventilators, defibrillators, oxygen); covers Kolkata and surrounding regions of West Bengal."
GoAid Ambulance Service,Kolkata / West Bengal -> Chennai (TN),Road (BLS/ALS/ICU Ventilator) / Air,Private,Medium,"Kolkata, Howrah, Durgapur, Asansol",8008280020,goaid.in,Yes,,,Yes,,,Yes,Yes,Yes,Yes,"Government-aligned pricing; covers major West Bengal cities; offers air ambulance for long-distance critical transfers, plus dead body ambulance service."
Panchmukhi Air & Train Ambulance (Kolkata),Kolkata (WB) -> Chennai (TN),Air / Train Ambulance,Private,Large,Kolkata,Check website for current number,panchmukhiairambulance.com,Yes,,,Yes,,,Yes,,Yes,Yes,"Kolkata branch office: Ba-7, 101 Shanti Pally, Rajdanga Main Road, Near Acropolis Mall, Kolkata-700021."
Zenzo Train Ambulance,West Bengal -> Chennai (TN),Train Ambulance (bed-to-bed),Private,Large,Multi-city (Pan-India),Check website for current number,zenzo.in,Yes,,,Yes,,,Yes,,Yes,Yes,"Full bed-to-bed coordination: road pickup, rail transfer, hospital handover; live vitals updates shared with receiving hospital."
