Provider Name,Route Direction,Service Type,Ownership,Vehicle Size,Base City,Contact Number,Website,ICU Ambulance,Cardiac Ambulance,Neonatal Ambulance,Ventilator Ambulance,Nurse Support,Multi-specialty Service,Patient Shifting,Dead Body Transportation,TN to WB Service,WB to TN Service,Notes
Flyinng Squad Ambulance,Chennai (TN) -> Kolkata (WB),"Road, ICU/Mobile ICU",Private,Medium,Chennai,+91 9100907036 / +91 9100907622,flyinngsquadambulancechennai.com,Yes,,,Yes,,,Yes,Yes,Yes,,"Long-distance critical & non-critical patient transfer; operating since 2000; covers Chennai to Kolkata and other interstate routes."
Ansh Train Ambulance Services,Chennai (TN) -> Kolkata (WB),Train Ambulance (bed-to-bed),Private,Large,Chennai,Check website for current number,anshairambulance.com,Yes,,,,Yes,Yes,Yes,Yes,,"Bed-to-bed service including ground ambulance at both ends, train ticket booking, and medical escort."
King Train Ambulance Service,Chennai (TN) -> Kolkata (WB),Train Ambulance,Private,Large,Chennai,Check website for current number,kingairambulance.com,Yes,,,,Yes,Yes,Yes,Yes,,"Bed-to-bed train ambulance transfer with medically certified escort team."
ICATT Air Ambulance,Chennai (TN) -> Kolkata (WB),Air Ambulance,Private,Large,Chennai,+91 9701111156,icatt.in,Yes,,Yes,,Yes,Yes,Yes,,"Flight ambulance / air medical transport for critical interstate transfers."
Panchmukhi Air & Train Ambulance,Chennai (TN) -> Kolkata (WB),Air Ambulance,Private,Large,Chennai / Kolkata,Check website for current number,panchmukhiairambulance.com,Yes,,Yes,,Yes,Yes,Yes,,"Approx. cost cited for Chennai-Kolkata air ambulance: Rs 7.5-10 lakh (subject to change; confirm with provider)."
VMEDO Private Ambulance,Chennai (TN) -> Kolkata (WB),Road (ICU) / Air Ambulance,Private,Medium,Chennai,9343180000,vmedo.com,Yes,,,,Yes,Yes,Yes,Yes,Yes,"Operates in both Chennai and Kolkata; offers ICU-equipped road ambulances, air ambulance and mortuary (dead body) ambulances for interstate transfer."
Med Cab Ambulance,Chennai (TN) -> Kolkata (WB),"Road, ICU",Private,Medium,Chennai,18008-908-208 (toll-free),medcab.in,Yes,,,,Yes,Yes,Yes,Yes,Yes,"Operates across Chennai, Kolkata and other major cities; app-based booking; also offers dead body transport."
Medifyhome Partner Network,Chennai (TN) -> Kolkata (WB),"Road, ICU",Private,Medium,Chennai,+91 9100907036 / +91 9100907622,medifyhome.com,Yes,,,,Yes,Yes,Yes,,"Network of partner ambulance operators in Chennai (Flyinng Squad, Sri Alagar, Bethel, Pro-Care) offering long-distance transfer."
Tamil Nadu 108 Emergency Ambulance,"Statewide, Tamil Nadu (origin point)",Government Emergency,Government,Medium,Tamil Nadu (all districts),108 (toll-free),tnhealth.tn.gov.in,,,,,Yes,Yes,,,"Free 24/7 government emergency ambulance; use to reach a hospital before arranging a private interstate transfer to West Bengal."
Lifesavers Rail & Air Ambulance,Coimbatore/Chennai (TN) -> Kolkata (WB),Train / Charter Air Ambulance,Private,Large,Coimbatore,+91 98912-33040,lifesaversambulance.com,Yes,,Yes,,Yes,Yes,Yes,,"ICU-level rail ambulance and charter air ambulance (C90, B200, Learjet) with PAN-India connectivity; contact: Dr. Pradeep Gupta, ICU Specialist."
Panchmukhi Air & Train Ambulance (Madurai),Madurai (TN) -> Kolkata (WB),Air / Train / Road Ambulance,Private,Large,Madurai,Check website for current number,panchmukhiairambulance.com,Yes,,,,Yes,Yes,Yes,,"Low-cost air, train and road ambulance from Madurai; quotes transparent, distance-based pricing."
Citizen Rail Ambulance,Tamil Nadu -> Kolkata (WB),Train / Air / Road Ambulance,Private,Large,Multi-city (Pan-India),Check website for current number,citizenrailambulance.com,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,"ICU-equipped train compartments and air ambulance with dedicated medical staff; also offers home nursing care."
Zenzo Train Ambulance,Tamil Nadu -> Kolkata (WB),Train Ambulance (bed-to-bed),Private,Large,Multi-city (Pan-India),Check website for current number,zenzo.in,Yes,,Yes,,Yes,Yes,Yes,,"Full bed-to-bed coordination: road pickup, rail transfer, hospital handover; live vitals updates shared with receiving hospital."
